Class Name,Description Text,Source
Coaching Habit,"Coaching can help our people to perform at their best, learn from their own experiences, and drive empowerment and engagement. Yet, we regularly fall back on old habits of telling instead of asking, mentoring instead of coaching, and directing instead of leading. In this class, we’ll delineate the difference between mentoring and coaching, introduce a simple frameworks for a 10 minutes coaching conversation, and establish a new habit to reinforce regular coaching conversations with your team. At the end of this course, participants will be able to: Determine when and how to use coaching questions to support others development and performance, Facilitate a coaching conversation in 10 minutes or less, Effectively establish a new habit",Workday
Meaningful Feedback,"Feedback is a catalyst for career growth and can be a really positive experience. People generally want to know how they’re doing and what they can improve on. Yet, we regularly hold back on asking for and giving feedback. In this class, we’ll uncover what holds us back from asking for and giving feedback, and effectively receiving feedback. We’ll identify ways to improve in all aspects of feedback, including techniques for requesting feedback that invites open, honest responses, receiving feedback in a way to ensure learning, and providing feedback, both positive and corrective, in ways that are in service of someone’s growth and development.",Workday
Client Introductions and Meetings,"Even the most experienced consultant must prepare for their time in front of a potential client. Learn about the different types of client meetings, typical questions that are asked, and strategies to prepare for the meetings.​",Workday
Ladder of Inference & The Drama Triangle,"What you say and how you say it is a part of what makes communication effective, but it's not the whole story. The assumptions you make about your exchanges with others (both verbally and non-verbally), and what roles you assume in those exchanges also plays a big role in your communication.​",Workday
Listening with Purpose,"""Most people do not listen with the intent to understand; they listen with the intent to reply."" -Stephen Covey. For most of us in the consulting business, our role is often to share our knowledge and expertise with others, but that doesn't make for a great listening experience when we're engaging in conversation with our clients. To truly deliver great work, we must first understand our clients, then work to help them solve their problems. In this interactive experience, we're going to flip the page from expert to listener by exploring the impact of being listened to, understanding some of our default listening behaviors, and developing the ability to focus our attention on how our clients and colleagues need us to listen.",Workday
Consulting Mindset,"Everyone is supported at Slalom to be an inspired, constant Learner with an open-mind and natural curiosity for what is possible. How can we adjust our own minds, behaviors, and values to deliver the best solutions for our clients? This inspiring session is meant to challenge preconceptions of consulting & illustrate how our skills & experiences can inform our work when paired with a Mindset that reflects Slalom’s Core Values, our own curiosity, & an innate desire to Learn. The course is broken into three distinct sections: Skillset, Mindset, and Toolset. Most of the time will be spent reviewing the Mindset Principles, the core tenets of the Class. There's structured time for questions, activities, and reflection through storytelling. We tie these sections together with Slalom’s Goal and Bold Move of creating a Culture of Learning & Teaching and Leading the Way in Growing Experts & Leaders.",Workday
Managing Performance the Slalom Way,"In an ideal world, we all perform at our best and we are all on a path to peak performance, however there may be times when that is not the case.  How do you approach it? How do you support your team members? How do you mitigate client risk? How do show up as a leader?  During this interactive session, you will dive into real scenarios, and from these, you will: Develop a deeper understanding of Slalom's performance management philosophy and approach, Understand your role as a leader managing performance, Recognize internal/external variables impacting performance, Understand how to provide guidance, feedback, and coaching in support of peak performance",Workday
New Hire Orientation,"Learn about the history of Slalom, our market, and our people. In this workshop, you'll have an opportunity to meet other new hires, consultants, and leaders while becoming more familiar with the company.",Workday
Light a Fire with Storytelling,"Storytelling is a powerful tool for connection. This two-hour interactive workshop offers a fun and practical introduction to storytelling at Slalom. You’ll walk away with tools and confidence to engage others with compelling, memorable stories. In this course, participants will: Understand why we tell stories and how they can use stories every day, Learn the elements and conditions of a great story, Use Slalom’s storytelling method to prepare and tell a story",Workday
DISC 101,"Learn about your DISC 'style' and how to improve your communication skills and working relationships with others. Understanding different personality styles can dramatically increase your one-on-one communication effectiveness with coworkers, clients, and friends. Knowing your own style and how to work with other styles will help you partner more effectively with your team and clients. The DISC 101 workshop is recommended for everyone at Slalom.",Workday
An Introduction to Peak Performance,"Slalom is reinventing the way we think about, talk about, and approach Performance. This course provides an introduction to some of the exciting changes to Slalom's performance management experience. It also includes some tools and resources to help you get started.",Workday
Widening the Circle: Inclusion at Slalom,"People perform best when they feel they can bring their whole selves to work. When they can’t, the energy that should be spent performing is spent elsewhere. Slalom is committed to a culture of inclusion that will strengthen our people, where everyone believes they can be their authentic selves and do their best work, and be accepted and supported for the good of Slalom as a whole. Slalom offers the Widening the Circle course to help cultivate an inclusive environment. To support this goal, it takes a commitment from everyone. In that spirit, it's expected that everyone at Slalom attend Widening The Circle.",Workday
Civil Treatment Impact,"This course is an introduction to the expectations of you as an employee.  This course will define sexual harassment, our anti-discrimination policy, the roles and responsibilities of both you the employee and the employer.  This will also define the workplace and discuss items like mutual banter which can detract from our goals.",Workday
7 Ways to Make Your Presence Felt,"Use this Journey to learn how to become more calm, cool and collected in any situation. Additionally, you'll be able to: Define Executive Presence, Review the 7 C's of Executive Presence: Credibility,Confidence,Composure, Connection, Clarity, Charisma and Conciseness, Identify areas of opportunity in your own Executive Presence, Enhance your Executive Presence skills",Workday
"Cloud Computing Concepts, Part 1","Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies – all centered around distributed systems. Learn about such fundamental distributed computing ""concepts"" for cloud computing. Some of these concepts include: clouds, MapReduce, key-value/NoSQL stores, classical distributed algorithms, widely-used distributed algorithms, scalability, trending areas, and much, much more! Know how these systems work from the inside out. Get your hands dirty using these concepts with provided homework exercises. In the programming assignments, implement some of these concepts in template code (programs) provided in the C++ programming language. Prior experience with C++ is required. The course also features interviews with leading researchers and managers, from both industry and academia.",Coursera
Cloud Computing Concepts: Part 2,"Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies – all centered around distributed systems. Learn about such fundamental distributed computing ""concepts"" for cloud computing. Some of these concepts include: clouds, MapReduce, key-value/NoSQL stores, classical distributed algorithms, widely-used distributed algorithms, scalability, trending areas, and much, much more! Know how these systems work from the inside out. Get your hands dirty using these concepts with provided homework exercises. In the programming assignments, implement some of these concepts in template code (programs) provided in the C++ programming language. Prior experience with C++ is required. The course also features interviews with leading researchers and managers, from both industry and academia.",Coursera
"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure","Welcome to the Cloud Computing Applications course, the first part of a two-course series designed to give you a comprehensive view on the world of Cloud Computing and Big Data! In this first course we cover a multitude of technologies that comprise the modern concept of cloud computing. Cloud computing is an information technology revolution that has just started to impact many enterprise computing systems in major ways, and it will change the face of computing in the years to come. We start the first week by introducing some major concepts in cloud computing, the economics foundations of it and we introduce the concept of big data. We also cover the concept of software defined architectures, and how virtualization results in cloud infrastructure and how cloud service providers organize their offerings. In week two, we cover virtualization and containers with deeper focus, including lectures on Docker, JVM and Kubernates. We finish up week two by comparing the infrastructure as a service offering by the big three: Amazon, Google and Microsoft. Week three moves to higher level of cloud offering, including platform as a service, mobile backend as a service and even serverless architectures. We also talk about some of the cloud middleware technologies that are fundamental to cloud based applications such as RPC and REST, JSON and load balancing. Week three also covers metal as a service (MaaS), where physical machines are provisioned in a cloud environment. Week four introduces higher level cloud services with special focus on cloud storage services. We introduce Hive, HDFS and Ceph as pure Big Data Storage and file systems, and move on to cloud object storage systems, virtual hard drives and virtual archival storage options. As discussion on Dropbox cloud solution wraps up week 4 and the course.",Coursera
"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud","Welcome to the Cloud Computing Applications course, the second part of a two-course series designed to give you a comprehensive view on the world of Cloud Computing and Big Data! In this second course we continue Cloud Computing Applications by exploring how the Cloud opens up data analytics of huge volumes of data that are static or streamed at high velocity and represent an enormous variety of information. Cloud applications and data analytics represent a disruptive change in the ways that society is informed by, and uses information. We start the first week by introducing some major systems for data analysis including Spark and the major frameworks and distributions of analytics applications including Hortonworks, Cloudera, and MapR. By the middle of week one we introduce the HDFS distributed and robust file system that is used in many applications like Hadoop and finish week one by exploring the powerful MapReduce programming model and how distributed operating systems like YARN and Mesos support a flexible and scalable environment for Big Data analytics. In week two, our course introduces large scale data storage and the difficulties and problems of consensus in enormous stores that use quantities of processors, memories and disks. We discuss eventual consistency, ACID, and BASE and the consensus algorithms used in data centers including Paxos and Zookeeper. Our course presents Distributed Key-Value Stores and in memory databases like Redis used in data centers for performance. Next we present NOSQL Databases. We visit HBase, the scalable, low latency database that supports database operations in applications that use Hadoop. Then again we show how Spark SQL can program SQL queries on huge data. We finish up week two with a presentation on Distributed Publish/Subscribe systems using Kafka, a distributed log messaging system that is finding wide use in connecting Big Data and streaming applications together to form complex systems. Week three moves to fast data real-time streaming and introduces Storm technology that is used widely in industries such as Yahoo. We continue with Spark Streaming, Lambda and Kappa architectures, and a presentation of the Streaming Ecosystem. Week four focuses on Graph Processing, Machine Learning, and Deep Learning. We introduce the ideas of graph processing and present Pregel, Giraph, and Spark GraphX. Then we move to machine learning with examples from Mahout and Spark. Kmeans, Naive Bayes, and fpm are given as examples. Spark ML and Mllib continue the theme of programmability and application construction. The last topic we cover in week four introduces Deep Learning technologies including Theano, Tensor Flow, CNTK, MXnet, and Caffe on Spark.",Coursera
Cloud Networking,"In the cloud networking course, we will see what the network needs to do to enable cloud computing. We will explore current practice by talking to leading industry experts, as well as looking into interesting new research that might shape the cloud network’s future. This course will allow us to explore in-depth the challenges for cloud networking—how do we build a network infrastructure that provides the agility to deploy virtual networks on a shared infrastructure, that enables both efficient transfer of big data and low latency communication, and that enables applications to be federated across countries and continents? Examining how these objectives are met will set the stage for the rest of the course. This course places an emphasis on both operations and design rationale—i.e., how things work and why they were designed this way. We're excited to start the course with you and take a look inside what has become the critical communications infrastructure for many applications today.",Coursera
The Data Scientist’s Toolbox,"In this course you will get an introduction to the main tools and ideas in the data scientist's toolbox. The course gives an overview of the data, questions, and tools that data analysts and data scientists work with. There are two components to this course. The first is a conceptual introduction to the ideas behind turning data into actionable knowledge. The second is a practical introduction to the tools that will be used in the program like version control, markdown, git, GitHub, R, and RStudio.",Coursera
R Programming,"In this course you will learn how to program in R and how to use R for effective data analysis. You will learn how to install and configure software necessary for a statistical programming environment and describe generic programming language concepts as they are implemented in a high-level statistical language. The course covers practical issues in statistical computing which includes programming in R, reading data into R, accessing R packages, writing R functions, debugging, profiling R code, and organizing and commenting R code. Topics in statistical data analysis will provide working examples.",Coursera
Getting and Cleaning Data,"Before you can work with data you have to get some. This course will cover the basic ways that data can be obtained. The course will cover obtaining data from the web, from APIs, from databases and from colleagues in various formats. It will also cover the basics of data cleaning and how to make data “tidy”. Tidy data dramatically speed downstream data analysis tasks. The course will also cover the components of a complete data set including raw data, processing instructions, codebooks, and processed data. The course will cover the basics needed for collecting, cleaning, and sharing data.",Coursera
Exploratory Data Analysis,This course covers the essential exploratory techniques for summarizing data. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models. Exploratory techniques are also important for eliminating or sharpening potential hypotheses about the world that can be addressed by the data. We will cover in detail the plotting systems in R as well as some of the basic principles of constructing data graphics. We will also cover some of the common multivariate statistical techniques used to visualize high-dimensional data.,Coursera
Reproducible Research,"This course focuses on the concepts and tools behind reporting modern data analyses in a reproducible manner. Reproducible research is the idea that data analyses, and more generally, scientific claims, are published with their data and software code so that others may verify the findings and build upon them.  The need for reproducibility is increasing dramatically as data analyses become more complex, involving larger datasets and more sophisticated computations. Reproducibility allows for people to focus on the actual content of a data analysis, rather than on superficial details reported in a written summary. In addition, reproducibility makes an analysis more useful to others because the data and code that actually conducted the analysis are available. This course will focus on literate statistical analysis tools which allow one to publish data analyses in a single document that allows others to easily execute the same analysis to obtain the same results.",Coursera
Statistical Inference,"Statistical inference is the process of drawing conclusions about populations or scientific truths from data. There are many modes of performing inference including statistical modeling, data oriented strategies and explicit use of designs and randomization in analyses. Furthermore, there are broad theories (frequentists, Bayesian, likelihood, design based, …) and numerous complexities (missing data, observed and unobserved confounding, biases) for performing inference. A practitioner can often be left in a debilitating maze of techniques, philosophies and nuance. This course presents the fundamentals of inference in a practical approach for getting things done. After taking this course, students will understand the broad directions of statistical inference and use this information for making informed choices in analyzing data.",Coursera
Machine Learning Foundations: A Case Study Approach,"Do you have data and wonder what it can tell you?  Do you need a deeper understanding of the core ways in which machine learning can improve your business?  Do you want to be able to converse with specialists about anything from regression and classification to deep learning and recommender systems? In this course, you will get hands-on experience with machine learning from a series of practical case-studies. At the end of the first course you will have studied how to predict house prices based on house-level features, analyze sentiment from user reviews, retrieve documents of interest, recommend products, and search for images. Through hands-on practice with these use cases, you will be able to apply machine learning methods in a wide range of domains. This first course treats the machine learning method as a black box. Using this abstraction, you will focus on understanding tasks of interest, matching these tasks to machine learning tools, and assessing the quality of the output. In subsequent courses, you will delve into the components of this black box by examining models and algorithms. Together, these pieces form the machine learning pipeline, which you will use in developing intelligent applications.",Coursera
Database Management Essentials,"Database Management Essentials provides the foundation you need for a career in database development, data warehousing, or business intelligence, as well as for the entire Data Warehousing for Business Intelligence specialization. In this course, you will create relational databases, write SQL statements to extract information to satisfy business reporting requests, create entity relationship diagrams (ERDs) to design databases, and analyze table designs for excessive redundancy. As you develop these skills, you will use either Oracle or MySQL to execute SQL statements and a database diagramming tool such as the ER Assistant or Visual Paradigm to create ERDs. We’ve designed this course to ensure a common foundation for specialization learners. Everyone taking the course can jump right in with writing SQL statements in Oracle or MySQL.",Coursera
Introduction to Data Science in Python,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses.",Coursera
Google Cloud Platform Big Data and Machine Learning Fundamentals,"This 1-week accelerated on-demand course introduces participants to the Big Data and Machine Learning capabilities of Google Cloud Platform (GCP). It provides a quick overview of the Google Cloud Platform and a deeper dive of the data processing capabilities. At the end of this course, participants will be able to: Identify the purpose and value of the key Big Data and Machine Learning products in the Google Cloud Platform, Use CloudSQL and Cloud Dataproc to migrate existing MySQL and Hadoop/Pig/Spark/Hive workloads to Google Cloud Platform, Employ BigQuery and Cloud Datalab to carry out interactive data analysis, Choose between Cloud SQL, BigTable and Datastore, Train and use a neural network using TensorFlow, Choose between different data processing products on the Google Cloud Platform",Coursera
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform,"This 1-week, accelerated course builds upon previous courses in the Data Engineering on Google Cloud Platform specialization. Through a combination of video lectures, demonstrations, and hands-on labs, you'll learn how to create and manage computing clusters to run Hadoop, Spark, Pig and/or Hive jobs on Google Cloud Platform.  You will also learn how to access various cloud storage options from their compute clusters and integrate Google’s machine learning capabilities into their analytics programs. In the hands-on labs, you will create and manage Dataproc Clusters using the Web Console and the CLI, and use cluster to run Spark and Pig jobs. You will then create iPython notebooks that integrate with BigQuery and storage and utilize Spark. Finally, you integrate the machine learning APIs into your data analysis.",Coursera
Serverless Data Analysis with Google BigQuery and Cloud Dataflow,"This 1-week, accelerated on-demand course builds upon Google Cloud Platform Big Data and Machine Learning Fundamentals. Through a combination of instructor-led presentations, demonstrations, and hands-on labs, students learn how to carry out no-ops data warehousing, analysis and pipeline processing.",Coursera
"Applied Plotting, Charting & Data Representation in Python","This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data.",Coursera
Ruby on Rails: An Introduction,"Did you ever want to build a web application?  Perhaps you even started down that path in a language like Java or C#, when you realized that there was so much “climbing the mountain” that you had to do? Maybe you have heard about web services being all the rage, but thought they were too complicated to integrate into your web application. Or maybe you wondered how deploying web applications to the cloud works, but there was too much to set up just to get going. In this course, we will explore how to build web applications with the Ruby on Rails web application framework, which is geared towards rapid prototyping.  Yes, that means building quickly! At the conclusion of this course, you will be able to build a meaningful web application and deploy it to the “cloud” using a Heroku PaaS (Platform as a Service). Best of all, it will almost feel effortless… Really! “But wait”, you will say, “there is no way that we can build a useful application if there is no database involved. You need the data for an application to be useful.” Great point! But what if… instead of getting the data from the database, we get it from the internet by tapping into one of the web services out there that readily provides data needed by our application? “Ok, but that’s probably very complicated”, you will say. Take this course and you will be pleasantly surprised at just how easy it is!",Coursera
Applied Machine Learning in Python,"This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis.",Coursera
